Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_17_66471,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.032468364
36_17_66472,4.16,0.1,0.1,0,2022/10/01 00:00:00+00,brown,0.093120648
36_17_66473,4.16,0.1,0.1,0,2022/10/01 00:00:00+00,brown,0.050053306
36_17_66474,4.16,0.2,0.1,0,2022/10/01 00:00:00+00,brown,0.031639857
36_17_66475,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.107407402
36_17_66851,13.2,1.3,0.1,0,2022/10/01 00:00:00+00,green,1.552130516
36_17_66852,13.2,8.12,0.06,0.03,2022/10/01 00:00:00+00,dark blue,1.092874839
36_17_66853,13.2,1.51,0.49,0,2022/10/01 00:00:00+00,turquoise,0.301572935
36_17_66854,13.2,1.86,0.1,0.02,2022/10/01 00:00:00+00,turquoise,0.727271938
36_17_67052,13.2,1.14,0.2,0.01,2022/10/01 00:00:00+00,green,1.151869769
36_17_67053,13.2,6.09,0.04,0.01,2022/10/01 00:00:00+00,dark blue,1.022058309
36_17_68451,13.2,0.24,0,0,2022/10/01 00:00:00+00,brown,0.45852879
36_17_68452,13.2,2.56,0.3,0,2022/10/01 00:00:00+00,light blue,0.430234991
36_17_68453,13.2,1.05,0.2,0,2022/10/01 00:00:00+00,green,0.163672433
36_17_70152,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.492641884
36_17_70161,4.8,0,0,0,2022/10/01 00:00:00+00,brown,1.040805428
36_18_1166,4.8,0.1,0.1,0.01,2022/10/01 00:00:00+00,brown,0.71594145
36_18_32651,13.2,0.36,0.1,0,2022/10/01 00:00:00+00,red,0.804165202
36_18_65355,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.863306072
36_18_65356,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.657893586
36_18_65357,13.2,0.1,0,0.01,2022/10/01 00:00:00+00,brown,1.271790356
36_18_65358,13.2,1.19,0.2,0,2022/10/01 00:00:00+00,green,0.712106572
36_18_65471,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.120338004
36_18_65472,4.8,0.32,0.1,0,2022/10/01 00:00:00+00,red,0.073994653
36_18_65473,4.8,0.72,0.4,0,2022/10/01 00:00:00+00,yellow,0.232663109
36_18_65474,4.8,0.41,0.1,0,2022/10/01 00:00:00+00,red,0.037997258
36_18_66581,4.8,0.23,0.23,0,2022/10/01 00:00:00+00,brown,0.080847948
36_18_66582,4.8,0.3,0.1,0,2022/10/01 00:00:00+00,red,0.072688596
36_18_66583,4.8,0.1,0.1,0,2022/10/01 00:00:00+00,brown,0.025242789
36_18_66584,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.020194412
36_18_66585,4.8,0.06,0.06,0,2022/10/01 00:00:00+00,brown,0.023009331
36_18_66586,4.8,0.36,0.3,0,2022/10/01 00:00:00+00,red,0.111497715
36_18_66951,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.216784811
36_18_66952,13.2,0.83,0.06,0.03,2022/10/01 00:00:00+00,yellow,1.504922931
36_18_66953,13.2,0,0,0.01,2022/10/01 00:00:00+00,brown,2.068474663
36_18_66954,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.1567356
36_18_76251,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.696243858
36_18_76252,13.2,0.91,0.91,0,2022/10/01 00:00:00+00,yellow,0.185880357
36_18_76253,13.2,0.81,0.81,0,2022/10/01 00:00:00+00,yellow,0.080344934
36_18_76254,13.2,0.57,0.1,0,2022/10/01 00:00:00+00,yellow,0.457072648
36_18_76255,13.2,0.75,0.2,0,2022/10/01 00:00:00+00,yellow,0.142703853
36_18_76256,13.2,1.11,0.6,0,2022/10/01 00:00:00+00,green,0.309328641
36_18_76257,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.361000047
36_18_76258,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.705133577
36_19_59471,4.16,2.37,0.1,0,2022/10/01 00:00:00+00,light blue,0.057734714
36_19_59472,4.16,2.14,0.1,0,2022/10/01 00:00:00+00,light blue,0.066987767
36_19_59473,4.16,1.8,0.4,0,2022/10/01 00:00:00+00,turquoise,0.046401819
36_19_59474,4.16,2.3,0.1,0,2022/10/01 00:00:00+00,light blue,0.034803471
36_19_59475,4.16,2.25,0.7,0,2022/10/01 00:00:00+00,light blue,0.017207099
36_19_59476,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.525986899
36_19_59477,4.16,0.4,0.1,0,2022/10/01 00:00:00+00,red,0.317942965
36_19_61452,13.2,0.7,0.1,0,2022/10/01 00:00:00+00,yellow,0.339959857
36_19_62370,4.16,1,0.24,0,2022/10/01 00:00:00+00,green,0.933975063
36_19_62371,4.16,1.5,0.2,0,2022/10/01 00:00:00+00,turquoise,0.035084124
36_19_62372,4.16,0.4,0.1,0,2022/10/01 00:00:00+00,red,0.178677786
36_19_62373,4.16,1.33,0.1,0,2022/10/01 00:00:00+00,green,0.065779022
36_19_66671,4.16,0.1,0,0,2022/10/01 00:00:00+00,brown,0.573454852
36_19_67651,13.2,3.8,0.1,0,2022/10/01 00:00:00+00,blue,1.097378453
36_19_67761,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.501991222
36_19_67852,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.719727578
36_19_67853,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.632901176
36_19_67856,13.2,0.2,0.1,0,2022/10/01 00:00:00+00,brown,0.834149083
36_19_67857,13.2,0.6,0.1,0,2022/10/01 00:00:00+00,yellow,1.547693378
36_20_50150,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.634497075
36_20_50151,13.2,1.1,0.1,0.01,2022/10/01 00:00:00+00,green,1.61670041
36_20_50152,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.099425817
36_20_50153,13.2,0.1,0,0,2022/10/01 00:00:00+00,brown,0.710126372
36_20_50154,13.2,5.9,0.3,0,2022/10/01 00:00:00+00,dark blue,0.153607394
36_20_50155,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.107572795
36_20_50156,13.2,10,0.2,0.01,2022/10/01 00:00:00+00,dark blue,0.990787377
36_20_50157,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.385544523
36_20_51451,13.2,8.72,0.1,0,2022/10/01 00:00:00+00,dark blue,0.803355762
36_20_51452,13.2,8.3,0,0,2022/10/01 00:00:00+00,dark blue,0.458157043
36_20_51453,13.2,8.72,0.1,0,2022/10/01 00:00:00+00,dark blue,0.909540798
36_20_51454,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.559858975
36_20_51455,13.2,2.7,0.1,0,2022/10/01 00:00:00+00,light blue,0.331404872
36_20_51456,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.107753881
36_20_51457,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.614361177
36_20_51458,13.2,0.1,0,0,2022/10/01 00:00:00+00,brown,0.255479361
36_23_71661,4.8,0,0,0.05,2022/10/01 00:00:00+00,brown,1.523526683
36_23_71662,4.8,0,0,0.01,2022/10/01 00:00:00+00,brown,0.555747364
36_23_71663,4.8,2.2,0.1,0,2022/10/01 00:00:00+00,light blue,0.353853016
36_23_71761,4.8,1.58,0.6,0,2022/10/01 00:00:00+00,turquoise,0.049214574
36_23_71763,4.8,2.55,0.1,0,2022/10/01 00:00:00+00,light blue,0.029002177
36_23_71764,4.8,2.01,0.5,0,2022/10/01 00:00:00+00,light blue,0.062826102
36_23_75563,4.8,1.67,0.1,0,2022/10/01 00:00:00+00,turquoise,1.001451916
36_23_77351,13.2,2.9,0.1,0,2022/10/01 00:00:00+00,light blue,1.179737097
36_23_77352,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.542891223
36_23_77353,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.595378361
36_23_77354,13.2,0,0,0.03,2022/10/01 00:00:00+00,brown,3.06435682
36_23_81556,13.2,3.29,0.07,0,2022/10/01 00:00:00+00,blue,2.264143439
36_23_81557,13.2,3.29,0.06,0,2022/10/01 00:00:00+00,blue,0.659630934
36_23_81652,13.2,0,0,0,2022/10/01 00:00:00+00,brown,2.805368285
36_23_81653,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.792118253
36_23_81654,13.2,0,0,0.01,2022/10/01 00:00:00+00,brown,1.10842336
36_23_87651,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.485167493
36_24_82961,4.8,0.2,0.1,0,2022/10/01 00:00:00+00,brown,0.663177729
36_24_83461,4.8,1.37,1.3,0,2022/10/01 00:00:00+00,green,0.001146038
36_24_83462,4.8,0.1,0.03,0,2022/10/01 00:00:00+00,brown,1.017893905
36_24_83561,4.8,1.02,0.1,0,2022/10/01 00:00:00+00,green,0.645952161
36_24_83761,2.4,0.1,0,0,2022/10/01 00:00:00+00,brown,0.163026626
36_24_83951,13.2,10,0.1,0,2022/10/01 00:00:00+00,dark blue,0.763666368
36_24_83952,13.2,10,0.3,0,2022/10/01 00:00:00+00,dark blue,0.081185512
36_24_84162,4.8,0.2,0.1,0,2022/10/01 00:00:00+00,brown,0.664268548
36_24_84361,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.44542871
36_24_84461,2.4,0.2,0.1,0,2022/10/01 00:00:00+00,brown,0.031034178
36_24_84661,2.4,0.9,0.1,0,2022/10/01 00:00:00+00,yellow,0.462850825
36_24_84762,4.8,0.52,0.1,0,2022/10/01 00:00:00+00,yellow,0.516882745
36_24_92758,13.2,0.1,0,0,2022/10/01 00:00:00+00,brown,0.940433435
36_24_92759,13.2,6.93,0.1,0.01,2022/10/01 00:00:00+00,dark blue,0.25140053
36_24_95661,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.990090427
36_25_82561,4.8,3.53,0.5,0,2022/10/01 00:00:00+00,blue,0.136988047
36_25_82562,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.139912521
36_25_82563,4.8,2,0.2,0,2022/10/01 00:00:00+00,light blue,0.137817947
36_25_85161,4.8,3.5,0.4,0,2022/10/01 00:00:00+00,blue,0.258111126
36_25_85162,4.8,2.91,0.1,0,2022/10/01 00:00:00+00,light blue,0.948326134
36_25_91361,4.8,0.1,0,0.01,2022/10/01 00:00:00+00,brown,1.284577945
36_25_92451,13.2,3.4,0.04,0,2022/10/01 00:00:00+00,blue,1.605649722
36_25_92452,13.2,3.4,0.13,0,2022/10/01 00:00:00+00,blue,1.366593429
36_25_93661,4.8,2.09,0.1,0,2022/10/01 00:00:00+00,light blue,0.277384732
36_25_93662,4.8,2.4,0.1,0.01,2022/10/01 00:00:00+00,light blue,0.202521861
36_25_93961,2.4,0,0,0,2022/10/01 00:00:00+00,brown,0.701551347
36_25_95554,13.2,8.42,0.1,0,2022/10/01 00:00:00+00,dark blue,1.402703598
36_25_95555,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.489846988
36_25_95556,13.2,1.5,0,0,2022/10/01 00:00:00+00,turquoise,0.637865547
36_25_95755,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.402477673
36_25_95756,13.2,8.06,0.1,0,2022/10/01 00:00:00+00,dark blue,1.304445834
36_25_95757,13.2,0,0,2.01,2022/10/01 00:00:00+00,brown,1.222822194
36_25_95758,13.2,8.12,0.1,0,2022/10/01 00:00:00+00,dark blue,1.527026167
36_25_97651,13.2,9.4,0.7,0,2022/10/01 00:00:00+00,dark blue,0.050453103
36_25_97652,13.2,8.87,0.3,0,2022/10/01 00:00:00+00,dark blue,0.364352892
36_25_97653,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.179895664
36_25_97654,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.920271768
36_25_97655,13.2,8.94,0.06,0,2022/10/01 00:00:00+00,dark blue,0.308236749
36_25_97656,13.2,0,0,0.02,2022/10/01 00:00:00+00,brown,1.285343193
36_25_97771,4.8,4.2,0.7,0,2022/10/01 00:00:00+00,blue,0.208996326
36_25_97772,4.8,3.7,0.2,0,2022/10/01 00:00:00+00,blue,0.237723502
36_26_81452,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.963289081
36_26_81453,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.956032889
36_26_81454,13.2,0,0,0.05,2022/10/01 00:00:00+00,brown,0.465662394
36_26_81455,13.2,0.1,0,-0.01,2022/10/01 00:00:00+00,brown,0.637677627
36_26_81456,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.409829478
36_26_81458,13.2,0,0,0.01,2022/10/01 00:00:00+00,brown,2.321369297
36_27_85251,13.2,0.5,0.04,0,2022/10/01 00:00:00+00,yellow,1.451628068
36_27_85961,4.8,0.4,0.1,0,2022/10/01 00:00:00+00,red,0.805634753
36_27_85962,4.8,0.4,0.1,0,2022/10/01 00:00:00+00,red,0.986955024
36_27_86061,4.8,0,0,0,2022/10/01 00:00:00+00,brown,1.403130247
36_27_86062,4.8,0,0,0,2022/10/01 00:00:00+00,brown,1.41290866
36_27_86161,4.8,0.3,0.2,0,2022/10/01 00:00:00+00,red,0.800991457
36_27_86461,4.8,0.3,0.2,0,2022/10/01 00:00:00+00,red,0.515654686
36_27_86652,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.182433829
36_27_88561,4.8,0.3,0.1,0,2022/10/01 00:00:00+00,red,1.115899949
36_27_89551,13.2,2.7,0.23,0,2022/10/01 00:00:00+00,light blue,0.280252647
36_27_89552,13.2,1.6,0.1,0,2022/10/01 00:00:00+00,turquoise,1.47243798
36_27_89553,13.2,1.8,0,0,2022/10/01 00:00:00+00,turquoise,0.710964164
36_27_89642,13.2,0.1,0,0,2022/10/01 00:00:00+00,brown,1.007981601
36_27_89761,4.8,0.4,0.2,0,2022/10/01 00:00:00+00,red,0.76107197
36_27_89865,4.8,0.2,0.1,0.01,2022/10/01 00:00:00+00,brown,0.758185693
36_27_89866,4.8,1.2,0.3,0,2022/10/01 00:00:00+00,green,0.101013008
36_27_89867,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.178868236
36_28_37061,4.8,0.1,0,0,2022/10/01 00:00:00+00,brown,0.974865254
36_28_37062,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.746411342
36_28_91451,13.2,7.77,0.08,2.01,2022/10/01 00:00:00+00,dark blue,2.687071221
36_28_91453,13.2,7.71,0.01,0,2022/10/01 00:00:00+00,dark blue,1.4001387
36_28_93361,4.8,1.3,0.1,0,2022/10/01 00:00:00+00,green,0.65756239
36_28_93851,13.2,9.32,0.1,0,2022/10/01 00:00:00+00,dark blue,0.985645701
36_28_93852,13.2,9.56,0.08,0.02,2022/10/01 00:00:00+00,dark blue,0.970422672
36_28_93853,13.2,9.62,0.1,0,2022/10/01 00:00:00+00,dark blue,0.249004596
36_28_93854,13.2,10,0.3,0,2022/10/01 00:00:00+00,dark blue,0.65812548
36_28_95361,4.8,0.5,0.1,0,2022/10/01 00:00:00+00,yellow,0.54096131
36_28_96361,4.8,0.6,0.1,0,2022/10/01 00:00:00+00,yellow,0.588513465
36_28_97966,4.8,3.56,0.5,0,2022/10/01 00:00:00+00,blue,0.077811829
36_28_97967,4.8,3.33,1.2,0,2022/10/01 00:00:00+00,blue,0.041593979
36_28_97968,4.8,3.5,0.5,0,2022/10/01 00:00:00+00,blue,0.019114235
36_29_72761,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.785511995
36_29_72762,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.629916146
36_29_77463,2.4,0.4,0.1,0,2022/10/01 00:00:00+00,red,0.064742141
36_29_80161,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.707544812
36_29_90461,4.8,1.25,0.1,0,2022/10/01 00:00:00+00,green,0.652012891
36_29_91671,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.660553759
36_29_97866,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.683567993
36_29_98351,13.2,10,0.1,0,2022/10/01 00:00:00+00,dark blue,1.005396341
36_29_98352,13.2,7.59,0,0,2022/10/01 00:00:00+00,dark blue,2.138245296
36_29_98353,13.2,5.3,0,0,2022/10/01 00:00:00+00,dark blue,2.069929453
36_29_98454,13.2,4.66,0.1,0.01,2022/10/01 00:00:00+00,blue,0.649177991
36_29_98455,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.866333403
36_30_02155,13.2,5.85,0.2,0.04,2022/10/01 00:00:00+00,dark blue,0.510843888
36_30_02156,13.2,5.85,0,0,2022/10/01 00:00:00+00,dark blue,0.510463086
36_30_02158,13.2,10,0,0.08,2022/10/01 00:00:00+00,dark blue,1.195016365
36_30_07851,13.2,3.5,0.3,0.01,2022/10/01 00:00:00+00,blue,0.164065974
36_30_07852,13.2,0,0,0.01,2022/10/01 00:00:00+00,brown,0.715495086
36_30_07853,13.2,1.5,0.2,0.03,2022/10/01 00:00:00+00,turquoise,0.452411974
36_30_07854,13.2,2.8,0.2,0.02,2022/10/01 00:00:00+00,light blue,0.495934841
36_30_07855,13.2,5.3,0.5,0,2022/10/01 00:00:00+00,dark blue,0.079656248
36_30_07856,13.2,5.1,0.2,0.01,2022/10/01 00:00:00+00,dark blue,0.344043977
36_30_07858,13.2,4.3,0.5,0.01,2022/10/01 00:00:00+00,blue,0.377357383
36_30_10151,13.2,5.79,0.1,0,2022/10/01 00:00:00+00,dark blue,0.135903813
36_30_10152,13.2,10,0.5,0,2022/10/01 00:00:00+00,dark blue,0.100378011
36_30_10153,13.2,3.7,0.2,0.01,2022/10/01 00:00:00+00,blue,0.498608488
36_30_10155,13.2,9.4,0.1,0,2022/10/01 00:00:00+00,dark blue,0.197860017
36_30_10156,13.2,6.8,0.4,0.01,2022/10/01 00:00:00+00,dark blue,0.23772509
36_30_10157,13.2,3.7,0.2,0.02,2022/10/01 00:00:00+00,blue,0.579004653
36_30_10158,13.2,5.61,0.1,0.01,2022/10/01 00:00:00+00,dark blue,0.167022211
36_30_10171,4.16,0.6,0.3,0,2022/10/01 00:00:00+00,yellow,0.069359653
36_30_10172,4.16,1.4,0.6,0,2022/10/01 00:00:00+00,green,0.018066549
36_30_10175,4.16,0.7,0.1,0,2022/10/01 00:00:00+00,yellow,0.05613168
36_30_10176,4.16,2.29,0.1,0,2022/10/01 00:00:00+00,light blue,0.015481416
36_30_10177,4.16,1.3,0.1,0,2022/10/01 00:00:00+00,green,0.036255365
36_30_10179,4.16,0.3,0.1,0,2022/10/01 00:00:00+00,red,0.104308647
36_30_11338,4.8,2.74,0.1,0.01,2022/10/01 00:00:00+00,light blue,0.284005056
36_30_11339,4.8,0,0,0.01,2022/10/01 00:00:00+00,brown,0.567454128
36_30_11340,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.696664281
36_30_12860,4.16,2.54,0.3,-0.02,2022/10/01 00:00:00+00,light blue,0.051563385
36_30_12861,4.16,2.26,0.2,0,2022/10/01 00:00:00+00,light blue,0.028545053
36_30_12862,4.16,2.29,0.3,0,2022/10/01 00:00:00+00,light blue,0.050476279
36_30_12863,4.16,2.54,0.2,0,2022/10/01 00:00:00+00,light blue,0.024258183
36_30_12864,4.16,2.57,0.2,0.02,2022/10/01 00:00:00+00,light blue,0.040828362
36_30_12865,4.16,2.26,0.4,0,2022/10/01 00:00:00+00,light blue,0.031812143
36_30_12866,4.16,2.54,0.4,0,2022/10/01 00:00:00+00,light blue,0.075508528
36_30_12867,4.16,2.26,0.4,0,2022/10/01 00:00:00+00,light blue,0.038262887
36_30_12868,4.16,2.26,0.7,0,2022/10/01 00:00:00+00,light blue,0.048374679
36_30_12869,4.16,2.26,0.3,0,2022/10/01 00:00:00+00,light blue,0.04335531
36_30_13254,13.2,3.8,0.1,0,2022/10/01 00:00:00+00,blue,0.140469131
36_30_13256,13.2,6.5,0.2,0,2022/10/01 00:00:00+00,dark blue,0.341965278
36_30_14951,13.2,0,0,0.03,2022/10/01 00:00:00+00,brown,0.879689404
36_30_14952,13.2,0,0,0.02,2022/10/01 00:00:00+00,brown,0.917662123
36_30_16442,13.2,10,0.1,0,2022/10/01 00:00:00+00,dark blue,0.182077262
36_30_16443,13.2,7.18,0.1,0.01,2022/10/01 00:00:00+00,dark blue,0.221152651
36_30_16445,4.16,4.3,0.7,0,2022/10/01 00:00:00+00,blue,0.025067624
36_30_16446,4.16,4.5,0.4,0,2022/10/01 00:00:00+00,blue,0.02229928
36_30_16448,4.16,5.6,0.2,0,2022/10/01 00:00:00+00,dark blue,0.054845137
36_30_16451,13.2,7.27,1.4,0,2022/10/01 00:00:00+00,dark blue,0.013571651
36_30_16452,13.2,7.27,0.3,0.01,2022/10/01 00:00:00+00,dark blue,0.116335969
36_30_16454,13.2,10,0.27,0,2022/10/01 00:00:00+00,dark blue,0.168008201
36_30_16456,13.2,10,0,0,2022/10/01 00:00:00+00,dark blue,0.122676069
36_30_16457,13.2,10,1,0,2022/10/01 00:00:00+00,dark blue,0.053261185
36_30_16458,13.2,7.18,0.2,0,2022/10/01 00:00:00+00,dark blue,0.165512237
36_30_17851,13.2,0,0,0.06,2022/10/01 00:00:00+00,brown,2.333998369
36_30_17852,13.2,0,0,-0.04,2022/10/01 00:00:00+00,brown,1.113846505
36_30_17853,13.2,0,0,0.01,2022/10/01 00:00:00+00,brown,1.108801048
36_30_22151,13.2,0,0,0.02,2022/10/01 00:00:00+00,brown,0.946189739
36_30_22851,13.2,5,0.2,0,2022/10/01 00:00:00+00,dark blue,0.096167321
36_30_26053,4.16,1.92,0.2,0,2022/10/01 00:00:00+00,turquoise,0.053750455
36_30_26059,4.16,1.92,0.2,0,2022/10/01 00:00:00+00,turquoise,0.022237102
36_30_26060,4.16,2.29,0.5,0,2022/10/01 00:00:00+00,light blue,0.021980146
36_30_27651,13.2,0,0,0.01,2022/10/01 00:00:00+00,brown,0.539338652
36_30_27652,13.2,0,0,0.11,2022/10/01 00:00:00+00,brown,1.23596977
36_30_27940,4.8,1.5,0.5,0,2022/10/01 00:00:00+00,turquoise,0.029833518
36_30_27941,4.8,2.49,0.8,0,2022/10/01 00:00:00+00,light blue,0.094085198
36_30_27942,4.8,0,0,0.01,2022/10/01 00:00:00+00,brown,0.104006651
36_30_27943,4.8,2.49,1.1,0,2022/10/01 00:00:00+00,light blue,0.065781623
36_30_27998,4.8,2.49,0.8,0.02,2022/10/01 00:00:00+00,light blue,0.055163813
36_30_27999,4.8,2.91,0.2,0,2022/10/01 00:00:00+00,light blue,0.039898387
36_30_28251,13.2,10,0.3,0,2022/10/01 00:00:00+00,dark blue,0.101575873
36_30_28252,13.2,10,0.3,0.02,2022/10/01 00:00:00+00,dark blue,0.098788529
36_30_28354,13.2,0,0,0.02,2022/10/01 00:00:00+00,brown,0.474684024
36_30_28355,13.2,0,0,0.05,2022/10/01 00:00:00+00,brown,1.455117664
36_30_28356,13.2,0,0,0.09,2022/10/01 00:00:00+00,brown,2.31430772
36_30_28854,13.2,8.67,0.3,0,2022/10/01 00:00:00+00,dark blue,0.097058612
36_30_28855,13.2,8.64,1.4,0,2022/10/01 00:00:00+00,dark blue,0.194064511
36_30_28858,13.2,7.18,0.5,0,2022/10/01 00:00:00+00,dark blue,0.22084038
36_30_29109,4.16,2.29,0.3,0.02,2022/10/01 00:00:00+00,light blue,0.061576632
36_30_29110,4.16,2.26,0.4,0.01,2022/10/01 00:00:00+00,light blue,0.077824121
36_30_29111,4.16,1.2,0.5,0,2022/10/01 00:00:00+00,green,0.071078734
36_30_29112,4.16,1.8,0.4,0,2022/10/01 00:00:00+00,turquoise,0.042158924
36_30_29113,4.16,2.26,0.7,0.01,2022/10/01 00:00:00+00,light blue,0.036070418
36_30_29114,4.16,0.9,0.2,0.01,2022/10/01 00:00:00+00,yellow,0.086668578
36_30_30567,4.16,1.6,0.2,0,2022/10/01 00:00:00+00,turquoise,0.050811703
36_30_30568,4.16,3.34,0.3,0,2022/10/01 00:00:00+00,blue,0.023637446
36_30_30581,4.16,2.57,0.3,0,2022/10/01 00:00:00+00,light blue,0.022629613
36_30_30583,4.16,1.2,0.4,0.01,2022/10/01 00:00:00+00,green,0.058421604
36_30_30584,4.16,1.5,0.1,0,2022/10/01 00:00:00+00,turquoise,0.075090126
36_30_31386,4.16,3.5,0.4,0,2022/10/01 00:00:00+00,blue,0.104838686
36_30_31387,4.16,3.13,1,0,2022/10/01 00:00:00+00,blue,0.031777554
36_30_31394,4.16,3.13,1,0,2022/10/01 00:00:00+00,blue,0.016766787
36_30_31707,4.16,1.2,0.1,0.02,2022/10/01 00:00:00+00,green,0.079219583
36_30_31715,4.16,1.92,0.4,-0.03,2022/10/01 00:00:00+00,turquoise,0.079983918
36_30_31716,4.16,1.92,0.1,0.02,2022/10/01 00:00:00+00,turquoise,0.079107512
36_30_31717,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.060954435
36_30_31718,4.16,2.26,0.4,0,2022/10/01 00:00:00+00,light blue,0.070525341
36_30_31719,4.16,1.7,0.1,0,2022/10/01 00:00:00+00,turquoise,0.059018737
36_30_32351,13.2,10,0.3,0,2022/10/01 00:00:00+00,dark blue,0.078888218
36_30_32352,13.2,10,0.2,0,2022/10/01 00:00:00+00,dark blue,0.187507982
36_30_32353,13.2,10,0.3,0,2022/10/01 00:00:00+00,dark blue,0.098219563
36_30_32354,13.2,10,0.2,0,2022/10/01 00:00:00+00,dark blue,0.284709139
36_30_32751,13.2,8.85,0.1,0.01,2022/10/01 00:00:00+00,dark blue,0.39620359
36_30_32752,13.2,8.85,0.2,0,2022/10/01 00:00:00+00,dark blue,0.131650004
36_30_32753,13.2,8.85,0.5,0,2022/10/01 00:00:00+00,dark blue,0.023234363
36_30_32754,13.2,3.1,0.5,0,2022/10/01 00:00:00+00,blue,0.09302279
36_30_32755,13.2,9.92,0.6,0,2022/10/01 00:00:00+00,dark blue,0.047502421
36_30_32756,13.2,3.7,1.1,0,2022/10/01 00:00:00+00,blue,0.083524774
36_30_32757,13.2,10,0.3,0,2022/10/01 00:00:00+00,dark blue,0.463156324
36_30_33033,4.16,2.54,0.1,0,2022/10/01 00:00:00+00,light blue,0.103003375
36_30_33052,13.2,7.05,0.2,0,2022/10/01 00:00:00+00,dark blue,0.097340044
36_30_33904,4.16,2.54,0.3,-0.01,2022/10/01 00:00:00+00,light blue,0.085520244
36_30_33905,4.16,2.54,0.1,0.01,2022/10/01 00:00:00+00,light blue,0.091957452
36_30_33906,4.16,2.54,0.4,0.02,2022/10/01 00:00:00+00,light blue,0.084304608
36_30_34451,13.2,9.49,0.2,0,2022/10/01 00:00:00+00,dark blue,0.349753057
36_30_34452,13.2,8.57,0.9,0,2022/10/01 00:00:00+00,dark blue,0.038596276
36_30_34453,13.2,5.2,0.1,0.02,2022/10/01 00:00:00+00,dark blue,0.373609224
36_30_34454,13.2,8.57,0.9,0,2022/10/01 00:00:00+00,dark blue,0.039655668
36_30_34455,13.2,8.16,0.9,0,2022/10/01 00:00:00+00,dark blue,0.041529399
36_30_34456,13.2,4,0.1,0,2022/10/01 00:00:00+00,blue,0.154020614
36_30_34457,13.2,5.9,0.2,0,2022/10/01 00:00:00+00,dark blue,0.104203823
36_30_37151,13.2,2.1,0.2,0,2022/10/01 00:00:00+00,light blue,0.285513718
36_30_37152,13.2,0,0,0.02,2022/10/01 00:00:00+00,brown,0.263461065
36_30_37153,13.2,0.7,0.1,0,2022/10/01 00:00:00+00,yellow,0.394733764
36_30_37154,13.2,8.55,0.2,0.02,2022/10/01 00:00:00+00,dark blue,0.475670523
36_30_37155,13.2,9.26,0.5,0,2022/10/01 00:00:00+00,dark blue,0.132077618
36_30_37156,13.2,3.7,0.6,0,2022/10/01 00:00:00+00,blue,0.049310428
