Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_01_3567,4.16,2,0.1,0,2022/10/01 00:00:00+00,light blue,0.064082178
36_01_3568,4.16,1.87,0.3,0,2022/10/01 00:00:00+00,turquoise,0.039660008
36_01_3569,4.16,1.51,1,0,2022/10/01 00:00:00+00,turquoise,0.026682135
36_01_3572,4.16,1.48,1.48,0,2022/10/01 00:00:00+00,green,0.005393719
36_01_3573,4.16,1.51,0.7,0,2022/10/01 00:00:00+00,turquoise,0.023235772
36_01_3661,4.16,1.97,0.3,0,2022/10/01 00:00:00+00,turquoise,0.05423003
36_01_3662,4.16,2.15,0.4,0,2022/10/01 00:00:00+00,light blue,0.054803366
36_01_3663,4.16,2.02,0.7,0,2022/10/01 00:00:00+00,light blue,0.06247219
36_01_3664,4.16,1.85,0.4,0,2022/10/01 00:00:00+00,turquoise,0.064901921
36_01_3665,4.16,1.84,0.5,0,2022/10/01 00:00:00+00,turquoise,0.060029818
36_01_3666,4.16,1.87,0.5,0,2022/10/01 00:00:00+00,turquoise,0.045684662
36_01_3667,4.16,2.15,0.4,0,2022/10/01 00:00:00+00,light blue,0.040708446
36_01_3668,4.16,1.83,0.3,0,2022/10/01 00:00:00+00,turquoise,0.051865556
36_01_3671,4.16,1.84,0.4,0,2022/10/01 00:00:00+00,turquoise,0.06234608
36_01_3672,4.16,1.85,0.2,0,2022/10/01 00:00:00+00,turquoise,0.065322455
36_01_3673,4.16,1.87,0.4,0,2022/10/01 00:00:00+00,turquoise,0.037170411
36_01_3761,4.16,2.16,0.1,0,2022/10/01 00:00:00+00,light blue,0.054853387
36_01_3762,4.16,2.16,0.3,0,2022/10/01 00:00:00+00,light blue,0.035985116
36_01_3764,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.04321362
36_01_3765,4.16,2.16,0.3,0,2022/10/01 00:00:00+00,light blue,0.063317322
36_01_3766,4.16,2.16,0.6,0,2022/10/01 00:00:00+00,light blue,0.028493815
36_01_3767,4.16,2.16,0.7,0,2022/10/01 00:00:00+00,light blue,0.024778763
36_01_3768,4.16,2.16,0.2,0,2022/10/01 00:00:00+00,light blue,0.09092992
36_01_3769,4.16,2.16,0.5,0,2022/10/01 00:00:00+00,light blue,0.030637872
36_01_3771,4.16,2.16,0.3,0,2022/10/01 00:00:00+00,light blue,0.022803052
36_01_3772,4.16,2.16,0.5,0,2022/10/01 00:00:00+00,light blue,0.014809883
