DER_ID,SERVICE_STREET_ADDRESS,DER_TYPE,DER_NAMEPLATE_RATING,DER_INTERCONNECTION_LOCATION,INTERCONNECTION_COST
237534,null,Solar,7.6,36_32_38152,0
238572,null,Solar,5000,36_05_3253,577550.02
237151,null,Solar,3.8,36_08_9954,0
237452,null,Solar,6,36_30_07851,0
237960,null,Solar,7.6,36_32_26553,0
237630,null,Solar,15.6,36_19_66671,0
237634,null,Solar,33.3,36_19_59472,0
238716,null,Solar,10,36_06_9261,0
238717,null,Solar,10,36_01_14057,0
238646,null,Solar,10,36_05_5156,0
238848,null,Solar,7.6,36_37_43351,0
390985,null,Solar,16.1,36_35_35852,0
233585,null,Solar,10,36_37_39052,0
233401,null,Solar,6,36_28_93854,0
405491,null,Hydro,1500,null,0
233513,null,Solar,2.52,36_30_17851,0
388316,null,Solar,43.2,36_10_4458,0
233517,null,Solar,10.23,36_30_07856,0
405531,null,Hydro,7460,null,0
232696,null,Solar,7.6,36_07_18254,0
403341,null,Solar,18,36_05_5053,0
233313,null,Solar,10,36_28_37061,0
233058,null,Solar,8.06,36_11_26751,0
232691,null,Solar,5,36_03_6452,0
233003,null,Solar,7.6,36_35_39252,0
233266,null,Solar,10,36_39_37653,0
388205,null,Solar,15.2,36_01_14053,0
233175,null,Solar,7.36,36_31_37252,0
232583,null,Solar,21.44,36_04_1863,0
389140,null,Solar,16.8,36_05_5552,0
232697,null,Solar,3.8,36_10_3352,0
232657,null,Solar,180,36_12_27852,4150
388030,null,Solar,17.5,36_37_39051,0
232672,null,Solar,5,36_01_22453,0
385587,null,Solar,5.76,36_14_25453,0
402395,null,Solar,4.06,36_33_08754,0
232856,null,Solar,8.96,36_01_14052,0
232681,null,Solar,3.8,36_10_1361,0
233207,null,Solar,7.6,36_06_7458,0
387678,null,Solar,11.88,36_30_17852,0
233456,null,Solar,3.8,36_38_33752,0
232678,null,Solar,3.8,36_01_14052,0
233046,null,Solar,3.8,36_11_29155,0
390639,null,Battery Add-On,7.6,36_30_07853,0
384037,null,Solar,7.04,36_01_2971,0
405345,null,Bio Gas,4000,null,0
232677,null,Solar,7.6,36_01_5861,0
384626,null,Solar,9.57,36_12_22869,0
233036,null,Solar,7.6,36_28_93854,0
232965,null,Solar,12.6,36_05_4363,0
232824,null,Solar,5,36_10_2256,0
389391,null,Solar,17.6,36_10_2462,0
233532,null,Solar,0,36_39_41551,0
244390,null,Solar,0.72,36_33_42752,0
244636,null,Solar,19,36_04_2952,0
244396,null,Solar,7.6,36_38_36253,0
242284,null,Solar,10,36_11_21964,0
244373,null,Solar,4.2,36_11_25054,0
244500,null,Solar,4825,36_18_76257,302199.65
244637,null,Solar,7.6,36_01_6364,0
242287,null,Solar,5000,36_11_5952,139516
244482,null,Solar,10.8,36_11_26656,0
244328,null,Solar,6,36_41_41852,0
244643,null,Solar,60,36_40_32152,19170.8
244736,null,Solar,3.8,36_32_13757,0
244760,null,Solar,10,36_32_38153,0
244417,null,Solar,6,36_40_32152,0
242341,null,Solar,10,36_03_8764,0
244403,null,Solar,5000,36_13_76055,1336468.85
244755,null,Solar,12,36_20_50156,0
244751,null,Solar,11.4,36_04_0158,0
244393,null,Solar,7.6,36_30_32757,0
242333,null,Solar,7.13,36_11_26552,0
242378,null,Solar,3.84,36_11_25351,0
244665,null,Solar,7.2,36_20_50152,0
244429,null,Solar,7.6,36_32_26553,0
244775,null,Solar,7.68,36_11_32554,0
242267,null,Solar,6.27,36_01_2967,0
244501,null,Solar,4.48,36_01_2364,0
244459,null,Solar,25,36_08_6162,0
244845,null,Solar,9,36_01_4868,0
245948,null,Solar,3.8,36_03_6453,0
245762,null,Solar,15.2,36_39_37652,0
245499,null,Solar,7.6,36_39_34257,0
245613,null,Solar,5000,36_11_5958,138916
245554,null,Solar,7.6,36_13_81758,0
245837,null,Solar,6,36_38_42354,0
245571,null,Solar,3.8,36_17_66472,0
245561,null,Solar,3.8,36_35_21932,0
245957,null,Solar,3.8,36_01_99551,0
245964,null,Solar,5,36_03_20954,0
245897,null,Solar,5,36_35_35651,0
246274,null,Solar,4.8,36_09_7955,0
246040,null,Solar,7.6,36_39_34257,0
245886,null,Solar,7.6,36_31_35252,0
245648,null,Solar,7.2,36_17_33153,0
246114,null,Solar,5,36_03_7655,0
245663,null,Solar,5,36_03_23253,0
245514,null,Solar,7.6,36_05_3762,0
235914,null,Solar,3.15,36_32_37056,0
235329,null,Solar,3,36_30_32354,0
235297,null,Solar,6,36_32_13757,0
235180,null,Solar,6,36_11_25353,0
235371,null,Solar,21,36_12_27851,0
235850,null,Solar,13.6,36_39_01253,0
